# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
72.970 -1.40  3 6.08 3.654  1.29  9 0.82  1.172  0.649  1.192  2.707 17.932   -0.026   -0.022   76.65   94.69   18.93  -99.93 -2.09  11.70000  -1.30000  0.092 -1.845
 9.590 -1.20  3 6.01 3.660  1.41  9 0.82  1.149  0.720  1.118  2.621 13.727    0.583   -0.548 -116.96  -76.31 -374.33  -14.65 -1.38  11.70000   0.30000  0.093 -1.610
20.070 -1.60  3 6.15 3.648  1.17  9 0.82  1.163  0.554  1.286  2.809 15.018    0.316   -0.074  -61.47 -205.92 -237.69   17.13 -3.50  11.70000   0.30000  0.093 -2.087
20.450 -1.40  3 6.08 3.654  1.29  9 0.82  1.147  0.549  1.211  2.717 15.203    0.193   -0.028 -165.59 -106.23 -185.80  131.34 -2.78  11.70000   0.30000  0.093 -1.845
28.450 -1.80  3 6.23 3.641  1.04  9 0.82  1.256  0.880  1.294  2.871 15.466    0.240   -0.134   54.71 -198.31 -287.05 -137.31 -1.69  11.70000   0.30000  0.093 -2.338
44.350 -1.60  3 6.15 3.648  1.17  9 0.82  1.206  0.687  1.258  2.793 16.655    0.090   -0.202 -167.24   83.44 -484.08  -48.18 -2.29  11.70000   0.30000  0.093 -2.087
51.790 -1.40  3 6.08 3.654  1.29  9 0.82  1.205  0.834  1.160  2.693 17.174    0.047   -0.031  -46.05  -49.28 -137.44    3.62 -1.28  11.70000   0.30000  0.093 -1.845
57.570 -1.20  3 6.01 3.660  1.41  9 0.82  1.092  0.483  1.158  2.641 17.709    0.058   -0.034  -29.66  -82.29 -166.21  -18.99 -2.72  11.70000   0.30000  0.093 -1.610
25.950 -1.20  3 6.01 3.660  1.41  9 0.82  1.131  0.637  1.129  2.623 15.964    0.222   -0.097  -39.24 -159.78 -254.29   -9.65 -1.74  13.50000  -3.10000  0.091 -1.610
41.630 -2.00  3 6.32 3.634  0.91  9 0.82  1.299  0.968  1.360  2.967 16.254    0.029   -0.068  -44.67   29.84 -149.17  -12.79 -1.70  13.50000  -3.10000  0.091 -2.600
